SAMPLE NAME,TYPE,FOLDER NAME,Sample Number,horiz_linescan,linescan,full length vert,no pts,Measured left glass,Measured Subcut layer,Measured dermis,Measured epi,Measured right glass,full length horiz,no pts horiz,Measured left ,measured centre,Measured right
,VH,VH1,201,no,yes,970,97,0,50,30,17,0,970,97,,,
,VH,VH2,270,yes,yes,1200,120,0,77,30,11,2,560,56,0,56,0
,VH,VH3,275,yes,yes,670,67,1,27,30,7,2,560,56,0,37,19
,VH,VH4,277,yes,yes,1030,103,1,51,30,20,1,750,75,0,50,25
,TS,TS1,269,yes,yes,910,91,3,45,30,11,2,550,55,0,32,23
,TS,TS2,272,yes,yes,1100,110,2,63,30,12,3,630,63,0,43,20
,TS,TS3,273,yes,yes,1060,106,0,61,30,12,3,1010,101,16,76,9
,TS,TS4,274,yes,yes,1100,110,0,66,30,12,2,700,70,10,45,15
,AC,AC1,279,yes,yes,770,77,0,40,30,6,1,630,63,20,43,0
,AC,AC2,280,yes,yes,660,66,0,28,30,6,2,1170,117,31,62,24
,AC,AC3,289,yes,yes,780,78,1,37,30,9,1,930,93,18,40,35
,CL,CL1,278,yes,yes,890,89,1,44,30,10,4,540,54,0,40,14
,CL,CL2,281,yes,yes,730,73,1,34,30,8,0,1140,114,32,44,38
,CL,CL3,284,yes,yes,570,57,0,16,30,9,2,760,76,0,58,18
,CL,CL4,285,no,no,620,62,2,21,30,6,3,550,55,0,55,0
,CL,CL5,294,yes,yes,680,68,1,25,30,10,2,1270,127,32,66,29
,CL,CL6,295,yes,yes,590,59,0,23,30,4,2,810,81,30,44,7
,AC,AC4,298,yes,yes,590,59,0,19,30,7,3,630,63,0,63,0
,TS,TS5,300,yes,yes,1330,133,0,87,30,14,2,1200,120,0,97,23
,TS,TS6,301,yes,yes,820,82,5,34,30,12,1,840,84,16,52,16
,VH,VH5,302,yes,yes,990,99,5,60,30,4,0,380,38,0,38,0
,VH,VH6,303,yes,yes,770,77,0,39,30,7,1,510,51,0,51,0
,AC,AC5,297,yes,yes,720,72,0,30,30,8,4,660,66,0,66,0
