SAMPLE NAME,TYPE,FOLDER NAME,Sample Number,horiz_linescan,linescan,full length vert,no pts,Measured left glass,Measured Subcut layer,Measured dermis,Measured epi,Measured right glass,full length horiz,no pts horiz,Measured left ,measured centre,Measured right,
,KO,KO-1,379,no,yes,690,69,3,48,12,3,3,,,,,,
,KO,KO-2,386,no,yes,500,50,2,24,12,6,6,,,,,,
,KO,KO-3,387,no,yes,450,45,0,27,12,3,3,,,,,,
,KO,KO-4,390,no,yes,460,46,1,24,12,5,4,,,,,,
,KO,KO-5,393,no,yes,1260,126,,,,,,,,,,,
,WT,WT-1,376,no,yes,540,54,1,33,12,5,3,,,,,,
,WT,WT-2,382,no,yes,600,60,0,40,12,5,3,,,,,,
,WT VH,WT_VH-1,572,no,yes,660,66,4,39,12,7,4,,,,,,
,WT VH,WT_VH-2,576,no,yes,660,66,,,,,,,,,,,needs to be combined
,WT VH,WT_VH-3,580,no,yes,900,90,4,55,12,16,3,,,,,,
,WT VH,WT_VH-4,595,no,yes,710,71,3,44,12,8,4,,,,,,
,WT VH,WT_VH-4.5,595,no,yes,710,70,4,41,12,6,5,,,,,,
,KO D7,KO_D7-1,541,no,yes,920,92,3,40,30,16,3,,,,,,
,KO D7,KO_D7-2,546,no,yes,1290,129,4,67,30,24,4,,,,,,
,KO D7,KO_D7-3,561,no,yes,820,82,5,21,30,22,4,,,,,,
,KO D7,KO_D7-4,562,no,yes,730,73,0,19,30,19,5,,,,,,
,KO D10,KO_D10-1,478,yes,yes,770,77,0,36,30,7,4,,70,29,33,8,
,KO D10,KO_D10-2,482,yes,yes,950,95,3,36,30,23,3,,1,,,,
,KO D10,KO_D10-3,484,yes,yes,930,93,4,25,30,28,6,,70,19,35,16,
,KO D10,KO_D10-4,490,yes,yes,990,99,2,49,30,14,4,,63,14,42,4,
,KO D14,KO_D14-1,626,no,yes,700,70,3,10,30,24,3,,,,,,
,KO D14,KO_D14-2,636,no,yes,630,63,0,19,30,12,2,,,,,,
,KO D14,KO_D14-3,644,no,yes,850,85,4,37,30,11,3,,,,,,
,KO D14,KO_D14-4,647,no,yes,600,60,0,18,30,10,2,,,,,,no start?
,KO D19,KO_D19-1,517,no,yes,670,67,3,17,30,17,0,,,,,,
,KO D19,KO_D19-2,523,no,yes,900,90,5,30,30,25,0,,,,,,unsure?
,KO D19,KO_D19-3,526,no,yes,800,80,3,36,30,7,4,,,,,,
,KO D19,KO_D19-4,529,no,yes,1010,101,0,56,30,15,0,,,,,,
,WT D7,WT_D7-1,552,no,yes,1100,110,0,61,30,13,6,,,,,,
,WT D7,WT_D7-2,553,no,yes,620,62,0,16,30,12,4,,,,,,
,WT D10,WT_D10-1,472,yes,yes,540,54,,,,,,,690,,,,not long enough
,WT D10,WT_D10-2,475,yes,yes,820,82,0,41,30,9,2,,470,0,36,11,
,WT D10,WT_D10-3,487,yes,yes,1030,103,0,62,30,9,2,,420,0,42,0,
,WT D14,WT_D14-1,623,no,yes,990,99,0,59,30,10,0,,,,,,
,WT D14,WT_D14-2,629,no,yes,710,71,0,34,30,7,0,,,,,,no start?
,WT D14,WT_D14-3,632,no,yes,1200,120,0,60,30,10,20,,,,,,
,WT D14,WT_D14-4,642,no,yes,670,67,0,28,30,6,3,,,,,,
,WT D19,WT_D19-1,522,no,yes,1010,101,0,42,30,17,12,,,,,,
,WT D19,WT_D19-2,534,no,yes,1410,141,0,70,30,33,8,,,,,,
,WT D19,WT_D19-3,535,no,yes,630,63,0,23,30,5,5,,,,,,
,WT D19,WT_D19-4,539,no,yes,1400,140,0,92,30,11,7,,,,,,
