#Group,Structure,Mean Position,Lower,Upper,Reference,DOI
mu(C-C); mu(C-O-C),"Protein backbone, collagen cross-link, proline, hydroxyproline, tyrosine",815,813,817,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C),"Proline, hydroxyproline, tyrosine",854.5,853,856,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C),"Hydroxyproline, tryptophan, protein",876,873,879,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C),Proline,919.5,919,920,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C),"Protein (collagen), alpha-helix, proline, hydroxyproline",935.5,933,938,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C),"Phenylalanine (collagen), proteins",1002.5,1000,1005,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-C); delta(C-H); mu(C-N); delta(CH2CH3),"Phenylalanine (collagen), lipids, proteins",1032,1030,1034,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-N); delta(N-H),"Amide III, proteins",1248.5,1242,1255,,https://doi.org/10.1038/s41598-019-55012-1
mu(C-N); delta(N-H),"Amide III (collagen), alpha-helix",1275,1270,1280,,https://doi.org/10.1038/s41598-019-55012-1
delta(CH2CH3),"Collagen, nucleic acids",1322,1322,1322,,https://doi.org/10.1038/s41598-019-55012-1
delta(C-H); delta(CH2CH3),"Collagen, protein, lipids",1335,1330,1340,,https://doi.org/10.1038/s41598-019-55012-1
delta(CH2); delta(CH2CH3),"Collagen, protein, lipids",1445,1440,1450,,https://doi.org/10.1038/s41598-019-55012-1
mu(C=O); mu(C=C); mu(C-N); delta(N-H),Amide I (collagen),1663,1650,1676,,https://doi.org/10.1038/s41598-019-55012-1
COO- AS stretching,GAG,1620,1620,1620,,DOI 10.1002/jps.22288
COO-: S stretching,GAG,1410,1410,1410,,DOI 10.1002/jps.22288
S=O: AS stretching,GAG,1248,1248,1248,,DOI 10.1002/jps.22288
mu(C=O),Lipids,1745,1745,1745,,doi: 10.3389/fbioe.2019.00303
mus(COO-),GAGs,1392.5,1375,1410,,doi: 10.3389/fbioe.2019.00303
mu(C-C),Lipids,1080,1080,1080,,doi: 10.3389/fbioe.2019.00303
p:C=C,"Phe, Tyr: Cells",1605,1605,1605,,doi: 10.1529/biophysj.105.066761
p:C=C,"Tyr, Typ: Cells",1615,1615,1615,,doi: 10.1529/biophysj.105.066761
A,A: Cells,1510,1510,1510,,doi: 10.1529/biophysj.105.066761
"G, A","G, A: Cells",1575,1575,1575,,doi: 10.1529/biophysj.105.066761
Trp,Trp,1562,1562,1562,,https://doi.org/10.1016/j.actbio.2023.03.016
Phe,Phe,1588,1588,1588,,https://doi.org/10.1016/j.actbio.2023.03.016
Beta-sheet,Beta sheet,1637,1637,1637,,https://doi.org/10.1016/j.actbio.2023.03.016
Beta-turns,Beta turns,1667,1667,1667,,https://doi.org/10.1016/j.actbio.2023.03.016
a-SMA,alpha-SMA,1602,1602,1602,,https://doi.org/10.1016/j.actbio.2023.03.016
phenyl,"phenylalanine, tryptophan",1608,1608,1608,,https://doi.org/10.1016/j.actbio.2023.03.016
cytosine,Cytosine,1294,1294,1294,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2 def,Collagen,1297,1297,1297,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2 def,Lipids,1299,1299,1299,,https://doi.org/10.1016/j.actbio.2019.03.026
C-N,Amines,1310,1310,1310,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2/CH3,Twisting (lipids),1339,1339,1339,,https://doi.org/10.1016/j.actbio.2019.03.026
DNA,DNA bases,1373,1373,1373,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2,CH2 def,1434,1434,1434,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2,CH2 bend lipid,1445,1440,1450,,https://doi.org/10.1016/j.actbio.2019.03.026
CH3/CH2,CH3/CH2 scissor,1446,1446,1446,,https://doi.org/10.1016/j.actbio.2019.03.026
CH2/CH3,CH2 sci/CH3 ben (collagen),1454,1454,1454,,https://doi.org/10.1016/j.actbio.2019.03.026
C=O,C=O str; C=lipids,1657,1657,1657,,https://doi.org/10.1016/j.actbio.2019.03.026
amide II,Amide II,1557,1557,1557,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
mu(C=O); mu(C=C); mu(C-N); delta(N-H),Amide I (collagen SS),1640,1640,1640,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
phenyl,"phenylalanine, tryptophan",1606,1606,1606,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
GAG,GAG COO-,1424,1424,1424,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
GAG,GAG CH3,1380,1380,1380,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
Amide III,Amide III-NH2-a-h,1270,1270,1270,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
Amide III,Amide III-a-h,1260,1260,1260,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
Amide III,Amide III-NH2-r-c,1245,1245,1245,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
Amide III,Amide III-r-c,1235,1235,1235,,https://www.medrxiv.org/content/10.1101/2023.09.05.23294936v1.full
Lipid,Lipid,2865,2850,2880,,cpt
Amide-A,"Amide-A (N-H; Collagen, elastin)",3275,3200,3350,,
O-H,"O-H (Water, ECM hydration, GAGs)",3375,3250,3500,,
