q0,deltaQ0,wMu,firstmoment,secondmoment,thirdmoment,skewness
0.272,0.001,0.01,0.271972,0.074,0.020118,0.432478
0.272,0.001,0.015918367346938776,0.271989,0.074,0.020122,0.465573
0.272,0.001,0.02183673469387755,0.272015,0.074,0.020128,0.504606
0.272,0.001,0.027755102040816326,0.272052,0.074,0.020136,0.538936
0.272,0.001,0.0336734693877551,0.2721,0.074,0.020147,0.561661
0.272,0.001,0.03959183673469388,0.272159,0.0741,0.02016,0.576967
0.272,0.001,0.04551020408163265,0.272229,0.0741,0.020175,0.601439
0.272,0.001,0.05142857142857143,0.272309,0.0742,0.020193,0.654739
0.272,0.001,0.057346938775510205,0.272399,0.0742,0.020213,0.749173
0.272,0.001,0.06326530612244897,0.272498,0.0743,0.020236,0.885301
0.272,0.001,0.06918367346938775,0.272606,0.0743,0.02026,1.053555
0.272,0.001,0.07510204081632653,0.272723,0.0744,0.020286,1.239154
0.272,0.001,0.08102040816326529,0.272849,0.0744,0.020315,1.427272
0.272,0.001,0.08693877551020407,0.272984,0.0745,0.020345,1.606363
0.272,0.001,0.09285714285714285,0.273128,0.0746,0.020378,1.769221
0.272,0.001,0.09877551020408162,0.273281,0.0747,0.020413,1.912478
0.272,0.001,0.1046938775510204,0.273442,0.0748,0.02045,2.035494
0.272,0.001,0.11061224489795918,0.273613,0.0749,0.020489,2.139277
0.272,0.001,0.11653061224489795,0.273792,0.075,0.02053,2.225664
0.272,0.001,0.12244897959183673,0.27398,0.0751,0.020574,2.296806
0.272,0.001,0.12836734693877552,0.274177,0.0752,0.020619,2.354865
0.272,0.001,0.13428571428571429,0.274382,0.0753,0.020667,2.401864
0.272,0.001,0.14020408163265308,0.274596,0.0754,0.020718,2.439616
0.272,0.001,0.14612244897959184,0.274819,0.0755,0.02077,2.469696
0.272,0.001,0.1520408163265306,0.27505,0.0757,0.020825,2.493451
0.272,0.001,0.1579591836734694,0.27529,0.0758,0.020881,2.512011
0.272,0.001,0.16387755102040816,0.275538,0.0759,0.020941,2.526315
0.272,0.001,0.16979591836734695,0.275794,0.0761,0.021002,2.537133
0.272,0.001,0.1757142857142857,0.276058,0.0762,0.021066,2.545094
0.272,0.001,0.1816326530612245,0.276331,0.0764,0.021132,2.55071
0.272,0.001,0.18755102040816327,0.276611,0.0766,0.0212,2.554391
0.272,0.001,0.19346938775510206,0.2769,0.0767,0.021271,2.55647
0.272,0.001,0.19938775510204082,0.277196,0.0769,0.021344,2.557217
0.272,0.001,0.20530612244897958,0.277501,0.0771,0.02142,2.556849
0.272,0.001,0.21122448979591837,0.277813,0.0772,0.021498,2.555541
0.272,0.001,0.21714285714285714,0.278133,0.0774,0.021578,2.553439
0.272,0.001,0.22306122448979593,0.27846,0.0776,0.021661,2.550657
0.272,0.001,0.2289795918367347,0.278796,0.0778,0.021746,2.547289
0.272,0.001,0.23489795918367348,0.279138,0.078,0.021834,2.54341
0.272,0.001,0.24081632653061225,0.279489,0.0782,0.021924,2.539076
0.272,0.001,0.24673469387755104,0.279846,0.0784,0.022017,2.534325
0.272,0.001,0.25265306122448977,0.280211,0.0786,0.022112,2.529181
0.272,0.001,0.25857142857142856,0.280584,0.0789,0.02221,2.523651
0.272,0.001,0.26448979591836735,0.280964,0.0791,0.022311,2.517723
0.272,0.001,0.27040816326530615,0.281351,0.0793,0.022414,2.511375
0.272,0.001,0.2763265306122449,0.281745,0.0796,0.02252,2.504566
0.272,0.001,0.28224489795918367,0.282146,0.0798,0.022629,2.497248
0.272,0.001,0.28816326530612246,0.282555,0.08,0.022741,2.489359
0.272,0.001,0.2940816326530612,0.28297,0.0803,0.022855,2.480833
